"age","Mean (95%CI)"
"16","1.01 (0.93; 1.10)"
"18","0.87 (0.71; 1.02)"
"20","0.98 (0.91; 1.08)"
"25","0.95 (0.89; 1.01)"
"30","0.94 (0.89; 0.98)"
"35","0.96 (0.91; 1.01)"
"40","0.88 (0.83; 0.93)"
"45","0.83 (0.77; 0.90)"
"50","0.84 (0.75; 0.92)"
"55","0.84 (0.77; 0.91)"
"60","0.77 (0.69; 0.84)"
"65","0.79 (0.69; 0.88)"
"70","0.84 (0.75; 0.92)"
"75","0.86 (0.75; 0.96)"
"80","0.89 (0.77; 1.02)"
"85","0.78 (0.55; 1.00)"
"90","1.01 (0.79; 1.26)"
