"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.95 (0.60; 1.30)","0.94 (0.59; 1.29)","0.97 (0.61; 1.32)","0.95 (0.60; 1.30)","0.95 (0.60; 1.30)","1.00 (1.00; 1.00)"
18,"0.97 (0.62; 1.32)","0.94 (0.59; 1.30)","0.96 (0.60; 1.31)","0.95 (0.60; 1.30)","0.97 (0.62; 1.32)","1.00 (1.00; 1.00)"
20,"0.95 (0.60; 1.30)","0.95 (0.60; 1.30)","0.93 (0.58; 1.28)","0.92 (0.57; 1.27)","0.93 (0.58; 1.28)","0.98 (0.98; 0.98)"
25,"0.94 (0.59; 1.29)","0.94 (0.60; 1.29)","0.94 (0.59; 1.29)","0.94 (0.59; 1.29)","0.94 (0.59; 1.29)","1.00 (1.00; 1.00)"
30,"0.95 (0.61; 1.30)","0.96 (0.61; 1.30)","0.97 (0.63; 1.32)","0.94 (0.59; 1.29)","0.94 (0.59; 1.28)","0.98 (0.98; 0.98)"
35,"0.94 (0.59; 1.29)","0.90 (0.55; 1.25)","0.92 (0.57; 1.27)","0.91 (0.56; 1.26)","0.92 (0.57; 1.26)","0.97 (0.97; 0.97)"
40,"0.94 (0.59; 1.29)","0.97 (0.62; 1.32)","0.94 (0.59; 1.28)","0.89 (0.54; 1.23)","0.92 (0.57; 1.27)","0.98 (0.98; 0.98)"
45,"0.91 (0.56; 1.26)","0.94 (0.59; 1.29)","0.93 (0.59; 1.28)","0.89 (0.54; 1.24)","0.84 (0.49; 1.19)","0.93 (0.93; 0.93)"
50,"0.93 (0.58; 1.28)","0.92 (0.58; 1.27)","0.93 (0.58; 1.28)","0.88 (0.53; 1.23)","0.87 (0.52; 1.22)","0.93 (0.93; 0.93)"
55,"0.95 (0.60; 1.29)","0.89 (0.55; 1.24)","0.92 (0.57; 1.27)","0.89 (0.54; 1.24)","0.86 (0.51; 1.20)","0.90 (0.90; 0.90)"
60,"0.93 (0.58; 1.28)","0.92 (0.57; 1.26)","0.93 (0.58; 1.28)","0.86 (0.51; 1.21)","0.83 (0.48; 1.18)","0.89 (0.89; 0.89)"
65,"0.96 (0.61; 1.31)","0.91 (0.57; 1.26)","0.91 (0.56; 1.26)","0.84 (0.49; 1.18)","0.84 (0.49; 1.19)","0.87 (0.87; 0.87)"
70,"0.93 (0.58; 1.28)","0.95 (0.60; 1.30)","0.91 (0.56; 1.26)","0.87 (0.52; 1.22)","0.90 (0.55; 1.25)","0.96 (0.96; 0.96)"
75,"0.91 (0.56; 1.26)","0.91 (0.56; 1.26)","0.89 (0.54; 1.24)","0.91 (0.56; 1.26)","0.89 (0.53; 1.24)","0.97 (0.97; 0.97)"
80,"0.89 (0.54; 1.24)","0.87 (0.52; 1.22)","0.88 (0.52; 1.23)","0.90 (0.54; 1.25)","0.91 (0.56; 1.27)","1.03 (1.03; 1.03)"
85,"0.88 (0.53; 1.24)","0.83 (0.48; 1.19)","0.85 (0.49; 1.20)","0.77 (0.41; 1.13)","0.87 (0.51; 1.24)","0.99 (0.99; 0.99)"
90,"0.88 (0.51; 1.24)","0.81 (0.44; 1.18)","0.79 (0.42; 1.15)","0.86 (0.48; 1.24)","0.56 (0.16; 0.96)","0.64 (0.64; 0.64)"
