"age","Mean (95%CI)"
"16","1.01 (1.01; 1.01)"
"18","0.89 (0.89; 0.89)"
"20","0.99 (0.99; 0.99)"
"25","0.96 (0.96; 0.96)"
"30","0.97 (0.97; 0.97)"
"35","0.95 (0.95; 0.95)"
"40","0.92 (0.92; 0.92)"
"45","0.89 (0.89; 0.89)"
"50","0.92 (0.92; 0.92)"
"55","0.91 (0.91; 0.91)"
"60","0.87 (0.87; 0.87)"
"65","0.86 (0.86; 0.86)"
"70","0.89 (0.89; 0.89)"
"75","0.97 (0.97; 0.97)"
"80","0.89 (0.89; 0.89)"
"85","0.85 (0.85; 0.85)"
"90","1.12 (1.12; 1.12)"
