"age","Mean (95%CI)"
"16","-0.00 (-0.00; -0.00)"
"18","0.00 (0.00; 0.00)"
"20","-0.02 (-0.02; -0.02)"
"25","-0.00 (-0.00; -0.00)"
"30","-0.02 (-0.02; -0.02)"
"35","-0.03 (-0.03; -0.03)"
"40","-0.02 (-0.02; -0.02)"
"45","-0.07 (-0.07; -0.07)"
"50","-0.07 (-0.07; -0.07)"
"55","-0.09 (-0.09; -0.09)"
"60","-0.10 (-0.10; -0.10)"
"65","-0.12 (-0.12; -0.12)"
"70","-0.03 (-0.03; -0.03)"
"75","-0.02 (-0.02; -0.02)"
"80","0.02 (0.02; 0.02)"
"85","-0.01 (-0.01; -0.01)"
"90","-0.32 (-0.32; -0.32)"
