"age","Mean (95%CI)"
"16","-0.02 (-0.05; 0.00)"
"18","-0.06 (-0.14; -0.01)"
"20","-0.02 (-0.05; 0.02)"
"25","-0.03 (-0.07; 0.01)"
"30","-0.05 (-0.08; -0.02)"
"35","-0.09 (-0.14; -0.05)"
"40","-0.12 (-0.16; -0.08)"
"45","-0.13 (-0.18; -0.07)"
"50","-0.16 (-0.21; -0.11)"
"55","-0.21 (-0.27; -0.15)"
"60","-0.15 (-0.20; -0.10)"
"65","-0.21 (-0.29; -0.14)"
"70","-0.14 (-0.21; -0.07)"
"75","-0.15 (-0.23; -0.08)"
"80","-0.12 (-0.21; -0.03)"
"85","0.00 (-0.13; 0.11)"
"90","-0.12 (-0.30; 0.06)"
