"age","Mean (95%CI)"
"16","1.01 (0.96; 1.06)"
"18","1.03 (0.97; 1.08)"
"20","1.00 (0.96; 1.04)"
"25","0.98 (0.95; 1.00)"
"30","0.99 (0.95; 1.03)"
"35","0.92 (0.89; 0.95)"
"40","0.91 (0.84; 0.97)"
"45","0.82 (0.73; 0.90)"
"50","0.86 (0.79; 0.91)"
"55","0.77 (0.69; 0.85)"
"60","0.77 (0.70; 0.84)"
"65","0.84 (0.79; 0.89)"
"70","0.91 (0.83; 0.99)"
"75","0.80 (0.68; 0.92)"
"80","1.01 (0.88; 1.14)"
"85","0.98 (0.86; 1.14)"
"90","0.84 (0.54; 1.15)"
