"age","Mean (95%CI)"
"16","0.00 (0.00; 0.00)"
"18","-0.01 (-0.01; -0.01)"
"20","-0.01 (-0.01; -0.01)"
"25","-0.01 (-0.01; -0.01)"
"30","-0.02 (-0.02; -0.02)"
"35","-0.05 (-0.05; -0.05)"
"40","-0.08 (-0.08; -0.08)"
"45","-0.11 (-0.11; -0.11)"
"50","-0.09 (-0.09; -0.09)"
"55","-0.13 (-0.13; -0.13)"
"60","-0.15 (-0.15; -0.15)"
"65","-0.10 (-0.10; -0.10)"
"70","-0.08 (-0.08; -0.08)"
"75","-0.09 (-0.09; -0.09)"
"80","-0.06 (-0.06; -0.06)"
"85","0.01 (0.01; 0.01)"
"90","-0.16 (-0.16; -0.16)"
