"","age5","level","value.Least deprived","value.Less deprived","value.Median deprived","value.More deprieved","value.Most deprived"
"1","age 16-17?","lvl 1","83 %","86 %","83 %","84 %","87 %"
"2","age 16-17?","lvl 2","16 %","13 %","17 %","16 %","12 %"
"3","age 16-17?","lvl 3","1 %","1 %","0 %","1 %","1 %"
"4","age 18-20?","lvl 1","83 %","79 %","86 %","85 %","84 %"
"5","age 18-20?","lvl 2","16 %","20 %","12 %","14 %","12 %"
"6","age 18-20?","lvl 3","1 %","1 %","3 %","1 %","4 %"
"7","age 20-24","lvl 1","80 %","81 %","80 %","80 %","79 %"
"8","age 20-24","lvl 2","18 %","18 %","19 %","19 %","19 %"
"9","age 20-24","lvl 3","2 %","1 %","1 %","1 %","2 %"
"10","age 25-29","lvl 1","85 %","82 %","81 %","80 %","79 %"
"11","age 25-29","lvl 2","14 %","16 %","18 %","18 %","18 %"
"12","age 25-29","lvl 3","1 %","1 %","1 %","2 %","3 %"
"13","age 30-34","lvl 1","85 %","85 %","82 %","80 %","76 %"
"14","age 30-34","lvl 2","14 %","15 %","16 %","18 %","21 %"
"15","age 30-34","lvl 3","1 %","0 %","2 %","2 %","3 %"
"16","age 35-39","lvl 1","82 %","82 %","81 %","77 %","72 %"
"17","age 35-39","lvl 2","17 %","17 %","17 %","21 %","24 %"
"18","age 35-39","lvl 3","1 %","1 %","2 %","3 %","4 %"
"19","age 40-44","lvl 1","82 %","80 %","78 %","75 %","69 %"
"20","age 40-44","lvl 2","16 %","19 %","20 %","23 %","26 %"
"21","age 40-44","lvl 3","1 %","2 %","2 %","2 %","6 %"
"22","age 45-49","lvl 1","81 %","81 %","77 %","75 %","69 %"
"23","age 45-49","lvl 2","18 %","18 %","20 %","23 %","25 %"
"24","age 45-49","lvl 3","1 %","1 %","3 %","2 %","6 %"
"25","age 50-54","lvl 1","80 %","81 %","73 %","69 %","66 %"
"26","age 50-54","lvl 2","19 %","18 %","24 %","27 %","28 %"
"27","age 50-54","lvl 3","1 %","1 %","3 %","4 %","6 %"
"28","age 55-59","lvl 1","80 %","79 %","75 %","70 %","61 %"
"29","age 55-59","lvl 2","19 %","19 %","22 %","25 %","32 %"
"30","age 55-59","lvl 3","1 %","2 %","3 %","5 %","7 %"
"31","age 60-64","lvl 1","81 %","79 %","75 %","76 %","66 %"
"32","age 60-64","lvl 2","18 %","20 %","23 %","22 %","29 %"
"33","age 60-64","lvl 3","1 %","1 %","2 %","2 %","5 %"
"34","age 65-69","lvl 1","83 %","78 %","80 %","75 %","68 %"
"35","age 65-69","lvl 2","17 %","20 %","18 %","23 %","28 %"
"36","age 65-69","lvl 3","1 %","2 %","2 %","2 %","4 %"
"37","age 70-74","lvl 1","80 %","81 %","78 %","75 %","71 %"
"38","age 70-74","lvl 2","19 %","18 %","20 %","24 %","26 %"
"39","age 70-74","lvl 3","1 %","1 %","2 %","2 %","4 %"
"40","age 75-79","lvl 1","80 %","78 %","77 %","76 %","68 %"
"41","age 75-79","lvl 2","19 %","21 %","21 %","22 %","29 %"
"42","age 75-79","lvl 3","1 %","1 %","2 %","1 %","3 %"
"43","age 80-84","lvl 1","76 %","76 %","73 %","74 %","72 %"
"44","age 80-84","lvl 2","24 %","23 %","26 %","23 %","27 %"
"45","age 80-84","lvl 3","1 %","1 %","1 %","3 %","1 %"
"46","age 85-89","lvl 1","69 %","75 %","72 %","67 %","65 %"
"47","age 85-89","lvl 2","29 %","25 %","25 %","31 %","31 %"
"48","age 85-89","lvl 3","2 %","0 %","3 %","2 %","4 %"
"49","age 90+","lvl 1","73 %","72 %","69 %","70 %","70 %"
"50","age 90+","lvl 2","24 %","26 %","31 %","30 %","30 %"
"51","age 90+","lvl 3","3 %","3 %","0 %","0 %","0 %"
