"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.95 (0.53; 1.36)","0.97 (0.55; 1.38)","0.96 (0.54; 1.37)","0.95 (0.54; 1.37)","0.95 (0.53; 1.36)","1.00 (0.97; 1.02)"
18,"0.95 (0.53; 1.36)","0.97 (0.55; 1.38)","0.96 (0.54; 1.37)","0.96 (0.54; 1.38)","0.94 (0.52; 1.36)","0.99 (0.96; 1.02)"
20,"0.94 (0.52; 1.35)","0.96 (0.55; 1.38)","0.93 (0.52; 1.35)","0.93 (0.51; 1.34)","0.93 (0.52; 1.35)","1.00 (0.98; 1.02)"
25,"0.94 (0.52; 1.35)","0.94 (0.53; 1.36)","0.94 (0.52; 1.35)","0.92 (0.51; 1.34)","0.92 (0.51; 1.34)","0.98 (0.96; 1.00)"
30,"0.94 (0.53; 1.36)","0.94 (0.52; 1.35)","0.93 (0.51; 1.34)","0.92 (0.50; 1.33)","0.92 (0.50; 1.33)","0.97 (0.95; 0.99)"
35,"0.93 (0.51; 1.34)","0.93 (0.51; 1.35)","0.91 (0.50; 1.33)","0.90 (0.48; 1.31)","0.86 (0.45; 1.28)","0.93 (0.90; 0.95)"
40,"0.93 (0.51; 1.34)","0.91 (0.50; 1.33)","0.90 (0.49; 1.32)","0.88 (0.46; 1.29)","0.83 (0.41; 1.24)","0.89 (0.87; 0.92)"
45,"0.92 (0.50; 1.33)","0.90 (0.49; 1.32)","0.90 (0.48; 1.31)","0.87 (0.45; 1.28)","0.79 (0.37; 1.20)","0.86 (0.83; 0.89)"
50,"0.90 (0.49; 1.32)","0.88 (0.47; 1.30)","0.87 (0.45; 1.28)","0.83 (0.41; 1.24)","0.77 (0.36; 1.19)","0.86 (0.83; 0.89)"
55,"0.90 (0.49; 1.32)","0.88 (0.46; 1.29)","0.85 (0.43; 1.26)","0.82 (0.40; 1.23)","0.71 (0.30; 1.13)","0.79 (0.75; 0.83)"
60,"0.88 (0.46; 1.29)","0.85 (0.43; 1.26)","0.82 (0.40; 1.23)","0.75 (0.34; 1.17)","0.67 (0.26; 1.09)","0.77 (0.73; 0.81)"
65,"0.88 (0.47; 1.30)","0.84 (0.43; 1.26)","0.83 (0.41; 1.24)","0.77 (0.36; 1.19)","0.73 (0.32; 1.15)","0.83 (0.79; 0.87)"
70,"0.84 (0.42; 1.26)","0.83 (0.42; 1.25)","0.81 (0.40; 1.23)","0.78 (0.36; 1.19)","0.72 (0.31; 1.14)","0.86 (0.82; 0.91)"
75,"0.84 (0.42; 1.26)","0.79 (0.37; 1.20)","0.78 (0.36; 1.20)","0.77 (0.36; 1.19)","0.73 (0.32; 1.15)","0.87 (0.82; 0.92)"
80,"0.79 (0.38; 1.21)","0.76 (0.35; 1.18)","0.73 (0.32; 1.15)","0.73 (0.32; 1.15)","0.71 (0.29; 1.13)","0.90 (0.83; 0.97)"
85,"0.68 (0.27; 1.10)","0.74 (0.32; 1.16)","0.72 (0.30; 1.14)","0.64 (0.23; 1.06)","0.68 (0.26; 1.10)","1.00 (0.85; 1.16)"
90,"0.69 (0.26; 1.11)","0.66 (0.23; 1.08)","0.61 (0.18; 1.03)","0.57 (0.15; 1.00)","0.51 (0.08; 0.94)","0.74 (0.45; 1.04)"
