"","age5","level","value.Least deprived","value.Less deprived","value.Median deprived","value.More deprieved","value.Most deprived"
"1","age 16-17?","lvl 1","87 %","92 %","83 %","86 %","84 %"
"2","age 16-17?","lvl 2","13 %","8 %","17 %","14 %","15 %"
"3","age 16-17?","lvl 3","1 %","0 %","0 %","0 %","1 %"
"4","age 18-20?","lvl 1","83 %","84 %","85 %","87 %","79 %"
"5","age 18-20?","lvl 2","17 %","16 %","14 %","12 %","19 %"
"6","age 18-20?","lvl 3","0 %","0 %","0 %","0 %","2 %"
"7","age 20-24","lvl 1","84 %","88 %","84 %","85 %","82 %"
"8","age 20-24","lvl 2","15 %","12 %","14 %","14 %","17 %"
"9","age 20-24","lvl 3","0 %","0 %","2 %","1 %","1 %"
"10","age 25-29","lvl 1","84 %","84 %","87 %","83 %","81 %"
"11","age 25-29","lvl 2","15 %","16 %","13 %","15 %","18 %"
"12","age 25-29","lvl 3","1 %","1 %","1 %","2 %","1 %"
"13","age 30-34","lvl 1","86 %","85 %","80 %","80 %","76 %"
"14","age 30-34","lvl 2","13 %","14 %","19 %","18 %","21 %"
"15","age 30-34","lvl 3","1 %","1 %","1 %","2 %","4 %"
"16","age 35-39","lvl 1","84 %","78 %","78 %","74 %","69 %"
"17","age 35-39","lvl 2","16 %","20 %","20 %","24 %","26 %"
"18","age 35-39","lvl 3","1 %","2 %","2 %","2 %","4 %"
"19","age 40-44","lvl 1","79 %","77 %","74 %","69 %","63 %"
"20","age 40-44","lvl 2","19 %","20 %","24 %","27 %","31 %"
"21","age 40-44","lvl 3","1 %","2 %","2 %","3 %","6 %"
"22","age 45-49","lvl 1","74 %","72 %","70 %","65 %","55 %"
"23","age 45-49","lvl 2","25 %","26 %","27 %","30 %","38 %"
"24","age 45-49","lvl 3","2 %","2 %","3 %","4 %","7 %"
"25","age 50-54","lvl 1","68 %","65 %","56 %","53 %","47 %"
"26","age 50-54","lvl 2","30 %","33 %","39 %","40 %","41 %"
"27","age 50-54","lvl 3","2 %","3 %","5 %","7 %","12 %"
"28","age 55-59","lvl 1","66 %","60 %","55 %","52 %","41 %"
"29","age 55-59","lvl 2","30 %","35 %","38 %","38 %","43 %"
"30","age 55-59","lvl 3","3 %","4 %","6 %","9 %","16 %"
"31","age 60-64","lvl 1","60 %","57 %","50 %","47 %","39 %"
"32","age 60-64","lvl 2","37 %","39 %","43 %","44 %","48 %"
"33","age 60-64","lvl 3","2 %","5 %","7 %","8 %","13 %"
"34","age 65-69","lvl 1","58 %","54 %","49 %","45 %","38 %"
"35","age 65-69","lvl 2","38 %","40 %","46 %","45 %","49 %"
"36","age 65-69","lvl 3","4 %","6 %","5 %","9 %","13 %"
"37","age 70-74","lvl 1","49 %","44 %","43 %","37 %","34 %"
"38","age 70-74","lvl 2","47 %","50 %","50 %","53 %","52 %"
"39","age 70-74","lvl 3","4 %","6 %","7 %","10 %","14 %"
"40","age 75-79","lvl 1","48 %","37 %","39 %","38 %","29 %"
"41","age 75-79","lvl 2","48 %","54 %","54 %","54 %","57 %"
"42","age 75-79","lvl 3","3 %","9 %","7 %","8 %","14 %"
"43","age 80-84","lvl 1","37 %","34 %","36 %","36 %","30 %"
"44","age 80-84","lvl 2","53 %","57 %","55 %","53 %","56 %"
"45","age 80-84","lvl 3","10 %","9 %","9 %","11 %","14 %"
"46","age 85-89","lvl 1","34 %","31 %","28 %","28 %","32 %"
"47","age 85-89","lvl 2","57 %","62 %","57 %","58 %","52 %"
"48","age 85-89","lvl 3","8 %","7 %","15 %","14 %","17 %"
"49","age 90+","lvl 1","37 %","39 %","36 %","44 %","26 %"
"50","age 90+","lvl 2","53 %","50 %","57 %","44 %","56 %"
"51","age 90+","lvl 3","10 %","11 %","8 %","12 %","18 %"
