"age","Mean (95%CI)"
"16","1.00 (0.97; 1.02)"
"18","0.99 (0.96; 1.02)"
"20","1.00 (0.98; 1.02)"
"25","0.98 (0.96; 1.01)"
"30","0.97 (0.95; 0.99)"
"35","0.93 (0.90; 0.95)"
"40","0.89 (0.87; 0.92)"
"45","0.86 (0.83; 0.89)"
"50","0.86 (0.83; 0.89)"
"55","0.79 (0.76; 0.83)"
"60","0.77 (0.72; 0.81)"
"65","0.83 (0.79; 0.87)"
"70","0.86 (0.82; 0.91)"
"75","0.87 (0.82; 0.92)"
"80","0.90 (0.83; 0.96)"
"85","1.00 (0.84; 1.16)"
"90","0.74 (0.44; 1.07)"
