"age","Mean (95%CI)"
"16","0.00 (0.00; 0.00)"
"18","-0.03 (-0.03; -0.03)"
"20","-0.01 (-0.01; -0.01)"
"25","-0.02 (-0.02; -0.02)"
"30","-0.05 (-0.05; -0.05)"
"35","-0.05 (-0.05; -0.05)"
"40","-0.07 (-0.07; -0.07)"
"45","-0.08 (-0.08; -0.08)"
"50","-0.09 (-0.09; -0.09)"
"55","-0.12 (-0.12; -0.12)"
"60","-0.10 (-0.10; -0.10)"
"65","-0.11 (-0.11; -0.11)"
"70","-0.10 (-0.10; -0.10)"
"75","-0.10 (-0.10; -0.10)"
"80","-0.05 (-0.05; -0.05)"
"85","-0.05 (-0.05; -0.05)"
"90","-0.12 (-0.12; -0.12)"
