"age","Mean (95%CI)"
"16","0.00 (0.00; 0.00)"
"18","-0.01 (-0.01; -0.01)"
"20","-0.01 (-0.01; -0.01)"
"25","-0.00 (-0.00; -0.00)"
"30","-0.01 (-0.01; -0.01)"
"35","-0.04 (-0.04; -0.04)"
"40","-0.07 (-0.07; -0.07)"
"45","-0.10 (-0.10; -0.10)"
"50","-0.08 (-0.08; -0.08)"
"55","-0.12 (-0.12; -0.12)"
"60","-0.13 (-0.13; -0.13)"
"65","-0.10 (-0.10; -0.10)"
"70","-0.08 (-0.08; -0.08)"
"75","-0.08 (-0.08; -0.08)"
"80","-0.06 (-0.06; -0.06)"
"85","0.01 (0.01; 0.01)"
"90","-0.15 (-0.15; -0.15)"
