"age","Mean (95%CI)"
"16","0.01 (-0.07; 0.08)"
"18","-0.12 (-0.27; 0.01)"
"20","-0.01 (-0.08; 0.06)"
"25","-0.04 (-0.09; 0.01)"
"30","-0.06 (-0.10; -0.01)"
"35","-0.03 (-0.08; 0.01)"
"40","-0.11 (-0.16; -0.06)"
"45","-0.15 (-0.20; -0.09)"
"50","-0.14 (-0.21; -0.06)"
"55","-0.14 (-0.21; -0.08)"
"60","-0.20 (-0.27; -0.14)"
"65","-0.17 (-0.26; -0.09)"
"70","-0.13 (-0.21; -0.06)"
"75","-0.11 (-0.20; -0.03)"
"80","-0.08 (-0.18; 0.02)"
"85","-0.16 (-0.33; -0.01)"
"90","0.01 (-0.14; 0.17)"
