"age","Mean (95%CI)"
"16","0.01 (0.01; 0.01)"
"18","-0.10 (-0.10; -0.10)"
"20","-0.01 (-0.01; -0.01)"
"25","-0.04 (-0.04; -0.04)"
"30","-0.03 (-0.03; -0.03)"
"35","-0.05 (-0.05; -0.05)"
"40","-0.07 (-0.07; -0.07)"
"45","-0.10 (-0.10; -0.10)"
"50","-0.07 (-0.07; -0.07)"
"55","-0.08 (-0.08; -0.08)"
"60","-0.12 (-0.12; -0.12)"
"65","-0.13 (-0.13; -0.13)"
"70","-0.11 (-0.11; -0.11)"
"75","-0.03 (-0.03; -0.03)"
"80","-0.11 (-0.11; -0.11)"
"85","-0.13 (-0.13; -0.13)"
"90","0.09 (0.09; 0.09)"
