"age","Mean (95%CI)"
"16","0.99 (0.99; 0.99)"
"18","1.01 (1.01; 1.01)"
"20","0.97 (0.97; 0.97)"
"25","1.00 (1.00; 1.00)"
"30","0.99 (0.99; 0.99)"
"35","0.96 (0.96; 0.96)"
"40","0.97 (0.97; 0.97)"
"45","0.91 (0.91; 0.91)"
"50","0.92 (0.92; 0.92)"
"55","0.91 (0.91; 0.91)"
"60","0.87 (0.87; 0.87)"
"65","0.87 (0.87; 0.87)"
"70","0.97 (0.97; 0.97)"
"75","0.95 (0.95; 0.95)"
"80","1.08 (1.08; 1.08)"
"85","1.03 (1.03; 1.03)"
"90","0.76 (0.76; 0.76)"
