"age","Mean (95%CI)"
"16","1.00 (1.00; 1.00)"
"18","1.00 (1.00; 1.00)"
"20","0.98 (0.98; 0.98)"
"25","1.00 (1.00; 1.00)"
"30","0.98 (0.98; 0.98)"
"35","0.97 (0.97; 0.97)"
"40","0.98 (0.98; 0.98)"
"45","0.93 (0.93; 0.93)"
"50","0.93 (0.93; 0.93)"
"55","0.90 (0.90; 0.90)"
"60","0.89 (0.89; 0.89)"
"65","0.87 (0.87; 0.87)"
"70","0.96 (0.96; 0.96)"
"75","0.97 (0.97; 0.97)"
"80","1.03 (1.03; 1.03)"
"85","0.99 (0.99; 0.99)"
"90","0.64 (0.64; 0.64)"
