"age","Mean (95%CI)"
"16","0.00 (0.00; 0.00)"
"18","-0.09 (-0.09; -0.09)"
"20","-0.02 (-0.02; -0.02)"
"25","-0.03 (-0.03; -0.03)"
"30","-0.03 (-0.03; -0.03)"
"35","-0.03 (-0.03; -0.03)"
"40","-0.07 (-0.07; -0.07)"
"45","-0.09 (-0.09; -0.09)"
"50","-0.05 (-0.05; -0.05)"
"55","-0.07 (-0.07; -0.07)"
"60","-0.11 (-0.11; -0.11)"
"65","-0.10 (-0.10; -0.10)"
"70","-0.10 (-0.10; -0.10)"
"75","-0.04 (-0.04; -0.04)"
"80","-0.11 (-0.11; -0.11)"
"85","-0.11 (-0.11; -0.11)"
"90","0.05 (0.05; 0.05)"
