"age","Mean (95%CI)"
"16","1.00 (1.00; 1.00)"
"18","0.91 (0.91; 0.91)"
"20","0.98 (0.98; 0.98)"
"25","0.97 (0.97; 0.97)"
"30","0.97 (0.97; 0.97)"
"35","0.97 (0.97; 0.97)"
"40","0.93 (0.93; 0.93)"
"45","0.90 (0.90; 0.90)"
"50","0.94 (0.94; 0.94)"
"55","0.93 (0.93; 0.93)"
"60","0.88 (0.88; 0.88)"
"65","0.89 (0.89; 0.89)"
"70","0.90 (0.90; 0.90)"
"75","0.95 (0.95; 0.95)"
"80","0.89 (0.89; 0.89)"
"85","0.87 (0.87; 0.87)"
"90","1.07 (1.07; 1.07)"
