"age","Mean (95%CI)"
"16","0.99 (0.93; 1.04)"
"18","1.00 (0.94; 1.07)"
"20","0.96 (0.89; 1.03)"
"25","0.98 (0.93; 1.06)"
"30","1.01 (0.96; 1.06)"
"35","0.95 (0.89; 1.02)"
"40","0.96 (0.90; 1.01)"
"45","0.86 (0.76; 0.96)"
"50","0.89 (0.83; 0.95)"
"55","0.83 (0.75; 0.92)"
"60","0.78 (0.69; 0.87)"
"65","0.81 (0.73; 0.89)"
"70","0.96 (0.88; 1.04)"
"75","0.87 (0.78; 0.97)"
"80","1.03 (0.94; 1.14)"
"85","0.91 (0.69; 1.13)"
"90","0.52 (-0.34; 1.04)"
