"age","Mean (95%CI)"
"16","0.01 (-0.02; 0.04)"
"18","-0.04 (-0.07; -0.01)"
"20","-0.02 (-0.04; 0.00)"
"25","-0.03 (-0.05; -0.01)"
"30","-0.06 (-0.08; -0.04)"
"35","-0.08 (-0.10; -0.06)"
"40","-0.11 (-0.13; -0.08)"
"45","-0.12 (-0.15; -0.09)"
"50","-0.17 (-0.20; -0.14)"
"55","-0.19 (-0.23; -0.16)"
"60","-0.16 (-0.19; -0.13)"
"65","-0.15 (-0.18; -0.11)"
"70","-0.13 (-0.16; -0.09)"
"75","-0.16 (-0.20; -0.12)"
"80","-0.08 (-0.13; -0.04)"
"85","-0.09 (-0.16; -0.02)"
"90","-0.12 (-0.22; 0.00)"
