"age","Mean (95%CI)"
"16","1.00 (1.00; 1.00)"
"18","0.97 (0.97; 0.97)"
"20","0.99 (0.99; 0.99)"
"25","0.98 (0.98; 0.98)"
"30","0.95 (0.95; 0.95)"
"35","0.94 (0.94; 0.94)"
"40","0.92 (0.92; 0.92)"
"45","0.91 (0.91; 0.91)"
"50","0.90 (0.90; 0.90)"
"55","0.87 (0.87; 0.87)"
"60","0.90 (0.90; 0.90)"
"65","0.89 (0.89; 0.89)"
"70","0.90 (0.90; 0.90)"
"75","0.89 (0.89; 0.89)"
"80","0.94 (0.94; 0.94)"
"85","0.94 (0.94; 0.94)"
"90","0.86 (0.86; 0.86)"
