"age","Mean (95%CI)"
"16","-0.00 (-0.03; 0.02)"
"18","-0.01 (-0.04; 0.02)"
"20","-0.00 (-0.02; 0.02)"
"25","-0.01 (-0.03; 0.00)"
"30","-0.03 (-0.04; -0.01)"
"35","-0.07 (-0.09; -0.04)"
"40","-0.10 (-0.12; -0.07)"
"45","-0.13 (-0.16; -0.10)"
"50","-0.13 (-0.16; -0.10)"
"55","-0.19 (-0.22; -0.15)"
"60","-0.20 (-0.24; -0.17)"
"65","-0.15 (-0.18; -0.12)"
"70","-0.12 (-0.16; -0.08)"
"75","-0.11 (-0.15; -0.07)"
"80","-0.08 (-0.14; -0.03)"
"85","-0.00 (-0.11; 0.10)"
"90","-0.18 (-0.39; 0.03)"
