"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.97 (0.61; 1.32)","0.98 (0.63; 1.34)","0.99 (0.63; 1.34)","0.97 (0.61; 1.33)","0.97 (0.61; 1.32)","1.00 (1.00; 1.00)"
18,"0.97 (0.61; 1.32)","0.99 (0.63; 1.34)","0.97 (0.61; 1.33)","0.98 (0.62; 1.34)","0.96 (0.60; 1.32)","0.99 (0.99; 0.99)"
20,"0.96 (0.61; 1.32)","0.98 (0.63; 1.34)","0.96 (0.61; 1.32)","0.96 (0.60; 1.31)","0.96 (0.60; 1.31)","0.99 (0.99; 0.99)"
25,"0.97 (0.61; 1.32)","0.97 (0.61; 1.32)","0.97 (0.61; 1.33)","0.96 (0.60; 1.31)","0.96 (0.60; 1.32)","1.00 (1.00; 1.00)"
30,"0.97 (0.62; 1.33)","0.97 (0.61; 1.32)","0.96 (0.61; 1.32)","0.95 (0.60; 1.31)","0.96 (0.61; 1.32)","0.99 (0.99; 0.99)"
35,"0.97 (0.61; 1.32)","0.98 (0.62; 1.33)","0.96 (0.61; 1.32)","0.95 (0.59; 1.31)","0.92 (0.57; 1.28)","0.96 (0.96; 0.96)"
40,"0.97 (0.62; 1.33)","0.96 (0.60; 1.32)","0.96 (0.61; 1.32)","0.94 (0.59; 1.30)","0.91 (0.55; 1.26)","0.93 (0.93; 0.93)"
45,"0.97 (0.62; 1.33)","0.96 (0.60; 1.32)","0.95 (0.60; 1.31)","0.93 (0.58; 1.29)","0.88 (0.52; 1.23)","0.90 (0.90; 0.90)"
50,"0.96 (0.61; 1.32)","0.95 (0.60; 1.31)","0.94 (0.59; 1.30)","0.92 (0.56; 1.27)","0.89 (0.53; 1.24)","0.92 (0.92; 0.92)"
55,"0.97 (0.62; 1.33)","0.97 (0.61; 1.32)","0.94 (0.58; 1.30)","0.92 (0.56; 1.27)","0.85 (0.49; 1.20)","0.87 (0.87; 0.87)"
60,"0.95 (0.60; 1.31)","0.94 (0.58; 1.30)","0.92 (0.56; 1.28)","0.87 (0.52; 1.23)","0.82 (0.46; 1.17)","0.86 (0.86; 0.86)"
65,"0.97 (0.61; 1.33)","0.95 (0.59; 1.30)","0.94 (0.59; 1.30)","0.90 (0.55; 1.26)","0.87 (0.51; 1.22)","0.89 (0.89; 0.89)"
70,"0.94 (0.59; 1.30)","0.93 (0.58; 1.29)","0.94 (0.58; 1.29)","0.91 (0.55; 1.26)","0.86 (0.50; 1.22)","0.91 (0.91; 0.91)"
75,"0.94 (0.59; 1.30)","0.91 (0.56; 1.27)","0.90 (0.55; 1.26)","0.90 (0.54; 1.26)","0.86 (0.50; 1.22)","0.91 (0.91; 0.91)"
80,"0.92 (0.57; 1.28)","0.89 (0.53; 1.25)","0.87 (0.51; 1.23)","0.84 (0.49; 1.20)","0.87 (0.51; 1.22)","0.94 (0.94; 0.94)"
85,"0.82 (0.46; 1.18)","0.87 (0.51; 1.22)","0.85 (0.49; 1.21)","0.79 (0.43; 1.15)","0.83 (0.47; 1.19)","1.01 (1.01; 1.01)"
90,"0.81 (0.44; 1.17)","0.80 (0.44; 1.16)","0.79 (0.43; 1.16)","0.70 (0.33; 1.06)","0.66 (0.29; 1.03)","0.81 (0.81; 0.81)"
