"age","Mean (95%CI)"
"16","1.00 (1.00; 1.00)"
"18","0.99 (0.99; 0.99)"
"20","0.99 (0.99; 0.99)"
"25","1.00 (1.00; 1.00)"
"30","0.99 (0.99; 0.99)"
"35","0.96 (0.96; 0.96)"
"40","0.93 (0.93; 0.93)"
"45","0.90 (0.90; 0.90)"
"50","0.92 (0.92; 0.92)"
"55","0.87 (0.87; 0.87)"
"60","0.86 (0.86; 0.86)"
"65","0.89 (0.89; 0.89)"
"70","0.91 (0.91; 0.91)"
"75","0.91 (0.91; 0.91)"
"80","0.94 (0.94; 0.94)"
"85","1.01 (1.01; 1.01)"
"90","0.81 (0.81; 0.81)"
