"age5","eq5d.Least deprived","eq5d.Less deprived","eq5d.Median deprived","eq5d.More deprieved","eq5d.Most deprived","most/least ratio"
16,"0.96 (0.59; 1.33)","0.97 (0.61; 1.34)","0.96 (0.60; 1.33)","0.97 (0.60; 1.34)","0.97 (0.60; 1.34)","1.01 (1.01; 1.01)"
18,"0.97 (0.60; 1.33)","0.97 (0.60; 1.34)","0.96 (0.59; 1.33)","0.97 (0.60; 1.34)","0.93 (0.56; 1.30)","0.96 (0.96; 0.96)"
20,"0.96 (0.60; 1.33)","0.97 (0.60; 1.33)","0.96 (0.59; 1.33)","0.96 (0.59; 1.33)","0.95 (0.58; 1.32)","0.99 (0.99; 0.99)"
25,"0.97 (0.60; 1.33)","0.97 (0.60; 1.34)","0.97 (0.60; 1.34)","0.95 (0.58; 1.32)","0.94 (0.57; 1.31)","0.98 (0.98; 0.98)"
30,"0.97 (0.61; 1.34)","0.97 (0.60; 1.34)","0.96 (0.59; 1.33)","0.95 (0.58; 1.32)","0.92 (0.55; 1.29)","0.95 (0.95; 0.95)"
35,"0.97 (0.60; 1.34)","0.96 (0.59; 1.32)","0.95 (0.58; 1.32)","0.93 (0.57; 1.30)","0.91 (0.54; 1.28)","0.94 (0.94; 0.94)"
40,"0.96 (0.60; 1.33)","0.95 (0.58; 1.32)","0.95 (0.58; 1.31)","0.93 (0.56; 1.29)","0.88 (0.51; 1.25)","0.91 (0.91; 0.91)"
45,"0.96 (0.59; 1.33)","0.95 (0.58; 1.32)","0.93 (0.56; 1.30)","0.92 (0.56; 1.29)","0.87 (0.50; 1.24)","0.91 (0.91; 0.91)"
50,"0.95 (0.58; 1.32)","0.93 (0.57; 1.30)","0.90 (0.53; 1.27)","0.89 (0.52; 1.26)","0.84 (0.47; 1.21)","0.88 (0.88; 0.88)"
55,"0.95 (0.58; 1.32)","0.93 (0.56; 1.30)","0.91 (0.54; 1.27)","0.88 (0.51; 1.25)","0.82 (0.45; 1.18)","0.86 (0.86; 0.86)"
60,"0.96 (0.59; 1.32)","0.93 (0.56; 1.30)","0.91 (0.54; 1.28)","0.91 (0.54; 1.27)","0.85 (0.49; 1.22)","0.89 (0.89; 0.89)"
65,"0.95 (0.59; 1.32)","0.93 (0.56; 1.30)","0.93 (0.56; 1.30)","0.90 (0.53; 1.27)","0.85 (0.48; 1.22)","0.89 (0.89; 0.89)"
70,"0.94 (0.57; 1.31)","0.92 (0.55; 1.29)","0.91 (0.54; 1.28)","0.87 (0.50; 1.23)","0.85 (0.48; 1.22)","0.91 (0.91; 0.91)"
75,"0.94 (0.57; 1.31)","0.89 (0.52; 1.25)","0.90 (0.53; 1.27)","0.89 (0.52; 1.26)","0.83 (0.46; 1.20)","0.89 (0.89; 0.89)"
80,"0.87 (0.50; 1.24)","0.86 (0.49; 1.23)","0.86 (0.49; 1.23)","0.84 (0.47; 1.21)","0.82 (0.45; 1.19)","0.94 (0.94; 0.94)"
85,"0.83 (0.46; 1.19)","0.83 (0.46; 1.20)","0.80 (0.43; 1.17)","0.80 (0.43; 1.17)","0.77 (0.40; 1.14)","0.93 (0.93; 0.93)"
90,"0.79 (0.42; 1.17)","0.76 (0.39; 1.13)","0.75 (0.38; 1.12)","0.79 (0.42; 1.16)","0.69 (0.31; 1.06)","0.86 (0.86; 0.86)"
